TITLE,1_3-26,
DATA TYPE,ULTRAVIOLET SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,24/03/2026,
TIME,15:44:03,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1040,
RESOLUTION,,
DELTAX,-0.5,
XUNITS,NANOMETERS,
YUNITS,ABSORBANCE,
FIRSTX,1200,
LASTX,200,
NPOINTS,2001,
FIRSTY,0.00937,
MAXY,1.02624,
MINY,0.00937,
XYDATA,,
1107.5,0.0107533,0.01430822
1107,0.0107867,0.014352662
1106.5,0.0107745,0.014336429
1106,0.0107876,0.014353859
1105.5,0.0107903,0.014357452
1105,0.0108263,0.014405353
1104.5,0.0108311,0.01441174
1104,0.0108256,0.014404422
1103.5,0.0108461,0.014431699
1103,0.0108527,0.014440481
1102.5,0.0108549,0.014443408
1102,0.0108573,0.014446601
1101.5,0.0108619,0.014452722
1101,0.0108815,0.014478802
1100.5,0.010893,0.014494103
1100,0.0109083,0.014514462
1099.5,0.0109063,0.0145118
1099,0.0109054,0.014510603
1098.5,0.0109224,0.014533223
1098,0.0109426,0.014560101
1097.5,0.010919,0.014528699
1097,0.0109484,0.014567818
1096.5,0.0109574,0.014579793
1096,0.010999,0.014635146
1095.5,0.0109981,0.014633948
1095,0.011009,0.014648452
1094.5,0.0110005,0.014637142
1094,0.0110171,0.01465923
1093.5,0.0110195,0.014662423
1093,0.011033,0.014680386
1092.5,0.0110363,0.014684777
1092,0.0110342,0.014681983
1091.5,0.011042,0.014692361
1091,0.0110577,0.014713251
1090.5,0.0110726,0.014733077
1090,0.0110736,0.014734408
1089.5,0.011086,0.014750907
1089,0.0110729,0.014733476
1088.5,0.0110692,0.014728553
1088,0.011064,0.014721634
1087.5,0.0110652,0.014723231
1087,0.0110506,0.014703804
1086.5,0.0110556,0.014710457
1086,0.0110532,0.014707264
1085.5,0.0110596,0.01471578
1085,0.0110645,0.014722299
1084.5,0.0110911,0.014757693
1084,0.0110932,0.014760487
1083.5,0.0111167,0.014791756
1083,0.0111454,0.014829944
1082.5,0.0111469,0.01483194
1082,0.0111469,0.01483194
1081.5,0.011164,0.014854693
1081,0.0111645,0.014855358
1080.5,0.0111926,0.014892748
1080,0.0111852,0.014882902
1079.5,0.0111909,0.014890486
1079,0.0111885,0.014887292
1078.5,0.0112168,0.014924948
1078,0.0112353,0.014949564
1077.5,0.0112503,0.014969523
1077,0.0112306,0.01494331
1076.5,0.0112481,0.014966596
1076,0.0112369,0.014951693
1075.5,0.0112548,0.014975511
1075,0.0112699,0.014995602
1074.5,0.0112833,0.015013432
1074,0.0112861,0.015017158
1073.5,0.0113017,0.015037915
1073,0.0112993,0.015034722
1072.5,0.0113178,0.015059338
1072,0.0113121,0.015051753
1071.5,0.0113403,0.015089276
1071,0.0113687,0.015127065
1070.5,0.0113744,0.015134649
1070,0.0113824,0.015145294
1069.5,0.0114201,0.015195457
1069,0.0114171,0.015191465
1068.5,0.0114138,0.015187074
1068,0.0114204,0.015195856
1067.5,0.0114374,0.015218476
1067,0.0114235,0.015199981
1066.5,0.0114362,0.015216879
1066,0.0114421,0.01522473
1065.5,0.0114456,0.015229387
1065,0.0114433,0.015226326
1064.5,0.011435,0.015215283
1064,0.0114354,0.015215815
1063.5,0.0114516,0.01523737
1063,0.0114388,0.015220339
1062.5,0.0114464,0.015230451
1062,0.0114386,0.015220073
1061.5,0.0114432,0.015226193
1061,0.0114952,0.015295384
1060.5,0.0115057,0.015309355
1060,0.0115224,0.015331576
1059.5,0.0115103,0.015315476
1059,0.0115106,0.015315875
1058.5,0.0115131,0.015319202
1058,0.0115498,0.015368034
1057.5,0.0115564,0.015376816
1057,0.0115733,0.015399303
1056.5,0.0115515,0.015370296
1056,0.0115858,0.015415935
1055.5,0.0115754,0.015402097
1055,0.0116015,0.015436826
1054.5,0.0116147,0.015454389
1054,0.0116438,0.01549311
1053.5,0.0116183,0.01545918
1053,0.0116417,0.015490315
1052.5,0.0116237,0.015466365
1052,0.0116315,0.015476743
1051.5,0.011621,0.015462772
1051,0.0116539,0.015506548
1050.5,0.011655,0.015508012
1050,0.0116792,0.015540212
1049.5,0.0116938,0.015559639
1049,0.0117235,0.015599157
1048.5,0.011695,0.015561236
1048,0.0117391,0.015619915
1047.5,0.0117339,0.015612996
1047,0.0117797,0.015673937
1046.5,0.0117744,0.015666884
1046,0.0118202,0.015727825
1045.5,0.0118265,0.015736208
1045,0.0118423,0.015757231
1044.5,0.0118356,0.015748316
1044,0.0118542,0.015773065
1043.5,0.0118428,0.015757897
1043,0.0118902,0.015820967
1042.5,0.0118903,0.0158211
1042,0.0119093,0.015846381
1041.5,0.0118842,0.015812983
1041,0.0119228,0.015864344
1040.5,0.0119346,0.015880045
1040,0.0119817,0.015942715
1039.5,0.0119848,0.01594684
1039,0.0120013,0.015968795
1038.5,0.0119929,0.015957618
1038,0.0120223,0.015996737
1037.5,0.012012,0.015983032
1037,0.0120698,0.01605994
1036.5,0.0120635,0.016051558
1036,0.012099,0.016098794
1035.5,0.0120935,0.016091475
1035,0.0121241,0.016132191
1034.5,0.0121117,0.016115692
1034,0.0121376,0.016150154
1033.5,0.0121366,0.016148824
1033,0.0121654,0.016187145
1032.5,0.0121869,0.016215752
1032,0.0121973,0.01622959
1031.5,0.0122161,0.016254606
1031,0.012237,0.016282415
1030.5,0.0122501,0.016299846
1030,0.0122737,0.016331247
1029.5,0.0122573,0.016309426
1029,0.0122744,0.016332179
1028.5,0.0122912,0.016354533
1028,0.0123427,0.016423058
1027.5,0.0124182,0.016523517
1027,0.0124169,0.016521788
1026.5,0.0124548,0.016572217
1026,0.0124355,0.016546537
1025.5,0.012468,0.016589781
1025,0.0124513,0.01656756
1024.5,0.0124877,0.016615993
1024,0.0124597,0.016578737
1023.5,0.012479,0.016604417
1023,0.0124651,0.016585922
1022.5,0.0124724,0.016595635
1022,0.0124475,0.016562504
1021.5,0.0124876,0.01661586
1021,0.0124586,0.016577273
